varying,value_deg,alpha_deg,beta_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,CL_avl,CD_avl,CY_avl,Cl_avl,Cm_avl,Cn_avl,CL_simple,CD_simple,CY_simple,Cl_simple,Cm_simple,Cn_simple
alpha,-6,-6,0.0,0.0,0.0,0.0,0.0,-0.3212,0.00552,-0.0,-0.0,0.08537,-0.0,-0.183531,0.015035,0.0,0.0,0.230505,0.0
alpha,-4,-4,0.0,0.0,0.0,0.0,0.0,-0.16486,0.00164,0.0,-0.0,0.03832,-0.0,-0.005734,0.014705,0.0,0.0,0.153528,0.0
alpha,-2,-2,0.0,0.0,0.0,0.0,0.0,-0.00727,0.00024,0.0,0.0,-0.01268,-0.0,0.172119,0.014594,0.0,0.0,0.072704,0.0
alpha,0,0,0.0,0.0,0.0,0.0,0.0,0.15111,0.00141,-0.0,0.0,-0.0674,0.0,0.35,0.014701,0.0,0.0,-0.011646,0.0
alpha,2,2,0.0,0.0,0.0,0.0,0.0,0.3098,0.00522,-0.0,0.0,-0.12556,0.0,0.527881,0.015028,0.0,0.0,-0.099186,0.0
alpha,4,4,0.0,0.0,0.0,0.0,0.0,0.46835,0.0117,-0.0,0.0,-0.18689,0.0,0.705734,0.015573,0.0,0.0,-0.189574,0.0
alpha,6,6,0.0,0.0,0.0,0.0,0.0,0.62627,0.02086,-0.0,0.0,-0.25108,0.0,0.883531,0.016337,0.0,0.0,-0.282458,0.0
alpha,8,8,0.0,0.0,0.0,0.0,0.0,0.7831,0.03266,-0.0,0.0,-0.31781,0.0,1.061243,0.017319,0.0,0.0,-0.377481,0.0
alpha,10,10,0.0,0.0,0.0,0.0,0.0,0.93836,0.04704,-0.0,0.0,-0.38677,0.0,1.238842,0.018518,0.0,0.0,-0.474275,0.0
alpha,12,12,0.0,0.0,0.0,0.0,0.0,1.09159,0.0639,-0.0,0.0,-0.45762,0.0,1.416298,0.019933,0.0,0.0,-0.57247,0.0
alpha,14,14,0.0,0.0,0.0,0.0,0.0,1.24235,0.08312,-0.0,0.0,-0.53002,0.0,1.593582,0.021561,0.0,0.0,-0.67169,0.0
